suburb,archetype,suitability,opportunity,n_cafe,n_asian_dining,n_retail,n_transit,c_bubble_tea,anchors,lat,lon
Thomastown,High-Street / Café Strip,87.5,87.5,3,6,15,0,0,"Woolworths, IGA Mercato + Liquor, Coles",-37.67377049073823,145.01467676028693
Windsor,CBD & Major Activity Centres,86.6,86.6,30,37,16,2,0,"Melbourne Polytechnic, College of Intensive Care Medicine of Australia and New Zealand, Prahran railway station",-37.852548472031536,144.9900942115385
Hawthorn East,CBD & Major Activity Centres,86.3,86.3,20,21,9,0,0,"Woolworths, Aldi, SEDA Group",-37.830462660599316,145.05294690128054
Armadale,CBD & Major Activity Centres,86.0,86.0,19,17,7,1,0,"High Street Armadale, Armadale railway station, Melbourne, InStitchu High St.",-37.85768693067243,145.02350256927755
Caulfield North,CBD & Major Activity Centres,82.5,82.5,18,12,7,1,0,"Woolworths, David Jones, Malvern Central",-37.8662028114017,145.027277308467
Bayswater,High-Street / Café Strip,81.0,81.0,8,13,8,1,0,"ALDI, Woolworths, Mountain High Shopping Centre",-37.83889359250918,145.26443130709137
Coburg,CBD & Major Activity Centres,80.1,80.1,16,5,12,1,0,"Coles, Woolworths Coburg Station, KFL Supermarket",-37.7452534308727,144.9633909228885
Brunswick,CBD & Major Activity Centres,78.7,78.7,12,9,11,2,0,"Woolworths Metro, Brunswick IGA, Vinfresh",-37.76057406686282,144.95979562147792
Balaclava,CBD & Major Activity Centres,78.1,78.1,16,10,4,2,0,"Carlisle Street, Ohel Chana College of Advanced Jewish Education for Women, Balaclava Station",-37.86958127825654,144.99763596183095
Hampton,High-Street / Café Strip,75.3,75.3,9,10,7,0,0,"Woolworths Hampton, Cycle Closet, IGA Local Grocer + Liquor Hampton",-37.93428021500314,145.0055412715706
Mount Eliza,High-Street / Café Strip,73.5,73.5,8,5,7,0,0,"Woolworths Mount Eliza, Ritchies IGA Mt Eliza, Mount Eliza Authorised Newsagency",-38.184549446954826,145.08563794329595
Burwood East,High-Street / Café Strip,72.7,72.7,3,3,8,0,0,"ALDI, Kmart, Burwood One Shopping Centre",-37.852610751939565,145.14584935787136
Hoppers Crossing,High-Street / Café Strip,71.1,71.1,5,5,9,1,0,"Hoppers Crossing Shopping Centre, Mister Minit, Coles Hoppers Crossing",-37.87911477996357,144.70117511938267
Reservoir,High-Street / Café Strip,65.3,65.3,4,1,9,0,0,"Coles Reservoir, Aaliyah Supermarket, One Way Fresh Supermarket",-37.71293947062093,145.01127523637837
Keysborough,High-Street / Café Strip,64.0,64.0,8,4,5,0,0,"Woolworths Keysborough, Coles Parkmore, TK Maxx",-37.99223290412808,145.17688359318592
