suburb,archetype,suitability,opportunity,n_cafe,n_asian_dining,n_retail,n_transit,c_bubble_tea,anchors,lat,lon
Neutral Bay,CBD & Major Activity Centres,91.6,91.6,17,22,10,3,0,"Coles, Australian Sports Nutrition, Theo's Arcade",-33.82947906150902,151.21759114185252
Camden,High-Street / Café Strip,91.4,91.4,13,9,6,1,0,"Woolworths Camden, Coles, Target Country",-34.052964786865395,150.69212891059863
Lane Cove,High-Street / Café Strip,84.6,84.6,12,15,7,2,0,"Woolworths Lane Cove, ALDI, Lane Cove Market Square Car Park",-33.81665931847089,151.16984179711642
Baulkham Hills,High-Street / Café Strip,83.5,83.5,4,7,14,1,0,"Woolworths Baulkham Hills, Grove Square, ALDI",-33.75907178400078,150.99647985815662
Cronulla,High-Street / Café Strip,83.3,83.3,25,20,6,1,0,"Woolworths Metro Cronulla, Lloyds SUPA IGA North Cronulla, Australian College",-34.053683831965074,151.1566802028219
Mona Vale,High-Street / Café Strip,80.6,80.6,18,13,8,3,0,"Woolworths Mona Vale, Aldi, Coles",-33.67954477053648,151.30581547019383
Riverstone,High-Street / Café Strip,75.7,75.7,3,2,7,1,0,"Vicsfresh IGA Riverstone, Riverstone Village Shopping Centre, Easyday Supermarket",-33.681778752460254,150.86491235491766
Manly,CBD & Major Activity Centres,74.6,74.6,43,21,14,1,0,"Coles Local Manly Corso, Coles Manly Peninsula, Manly Markets 2095",-33.796415793954544,151.28314293210852
Elizabeth Bay,CBD & Major Activity Centres,73.8,73.8,29,17,4,0,0,"Woolworths Metro, The Sebel of Sydney, Mr Lee's Noodles",-33.870276459684625,151.22811268733196
Cremorne Junction,CBD & Major Activity Centres,73.5,73.5,20,26,6,1,0,"Woolworths, Supamart IGA Cremorne, Cremorne Plaza",-33.830586091109005,151.22846153854934
Caringbah,High-Street / Café Strip,73.3,73.3,16,16,4,1,0,"Woolworths Caringbah, HomeCo. Caringbah Village, Caringbah railway station",-34.04195144695672,151.11971119527104
Gladesville,High-Street / Café Strip,71.1,71.1,11,8,5,0,0,"Aldi, Gladesville Shopping Village, Coles",-33.82785730452288,151.12404409488144
Green Valley,High-Street / Café Strip,69.9,69.9,6,5,5,0,0,"The Valley Plaza, Coles, Woolworths Green Valley",-33.904207390081865,150.8641725486202
Bella Vista,High-Street / Café Strip,69.5,69.5,10,5,7,1,0,"Woolworths Metro, CS Education Bella Vista, Woolworths Group Careers",-33.73778307240658,150.94457341686135
Illawong,Quiet Residential,69.5,69.5,2,3,4,0,0,"Coles Illawong, Lugarno Shopping Village, Illawong Shopping Village",-33.99441829918716,151.04389339918814
